name,openning,revenue,views,screen,run,nationality
범죄도시2,2022-05-18,131297440478 ,12693302 ,2521 ,355767 ,한국
탑건: 매버릭,2022-06-22,87855360975 ,8177446 ,1975 ,249415 ,미국
아바타: 물의 길,2022-12-14,90296839202 ,7313149 ,2809 ,152626 ,미국
한산: 용의 출현,2022-07-27,73700628377 ,7264934 ,2223 ,217713 ,한국
공조2: 인터내셔날,2022-09-07,70916352586 ,6982840 ,2389 ,275814 ,한국
닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,62648728870 ,5884587 ,2691 ,211097 ,미국
헌트,2022-08-10,44600858153 ,4352390 ,1625 ,170963 ,한국
올빼미,2022-11-23,31769067550 ,3222767 ,1541 ,142130 ,한국
쥬라기 월드: 도미니언,2022-06-01,29237071310 ,2837410 ,2218 ,86427 ,미국
마녀(魔女) Part2. The Other One,2022-06-15,28922488670 ,2806501 ,1796 ,94940 ,한국
토르: 러브 앤 썬더,2022-07-06,29505081721 ,2716306 ,2143 ,107527 ,미국
미니언즈2,2022-07-20,21999556172 ,2269024 ,1394 ,78960 ,미국
블랙 팬서: 와칸다 포에버,2022-11-09,22203069405 ,2105641 ,2571 ,121601 ,미국
비상선언,2022-08-03,20927363328 ,2058869 ,1734 ,73045 ,한국
육사오(6/45),2022-08-24,19791166880 ,1980769 ,1339 ,105933 ,한국
헤어질 결심,2022-06-29,19642291589 ,1893954 ,1374 ,79620 ,한국
외계+인 1부,2022-07-20,15995553548 ,1539362 ,1959 ,68414 ,한국
영웅,2022-12-21,14534225323 ,1487679 ,1314 ,45482 ,한국
해적: 도깨비 깃발,2022-01-26,12523963990 ,1339242 ,1708 ,117320 ,한국
브로커,2022-06-08,12586786030 ,1261131 ,1594 ,66203 ,한국
신비한 동물들과 덤블도어의 비밀,2022-04-13,12305198580 ,1195441 ,2207 ,106090 ,미국
인생은 아름다워,2022-09-28,10898038019 ,1171602 ,1285 ,106970 ,한국
더 배트맨,2022-03-01,9339130700 ,904238 ,2370 ,97370 ,미국
데시벨,2022-11-16,8846169146 ,900654 ,1152 ,55336 ,한국
정직한 후보2,2022-09-28,8446139162 ,899684 ,1318 ,77220 ,한국
씽2게더,2022-01-05,8193478050 ,885067 ,1251 ,72580 ,미국
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,8363867924 ,836665 ,873 ,41965 ,일본
블랙 아담,2022-10-19,8040723608 ,779485 ,1524 ,77116 ,미국
킹메이커,2022-01-26,7318959610 ,775968 ,1185 ,80072 ,한국
자백,2022-10-26,7352559230 ,738120 ,1115 ,78568 ,한국
언차티드,2022-02-16,7116304100 ,730924 ,1536 ,77036 ,미국
경관의 피,2022-01-05,6687389520 ,679503 ,1187 ,57409 ,한국
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,6750156802 ,662397 ,439 ,20340 ,일본
극장판 주술회전 0,2022-02-17,6602758252 ,662099 ,843 ,66699 ,일본
압꾸정,2022-11-30,5722751661 ,608197 ,1229 ,47408 ,한국
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022-06-01,5477045710 ,581216 ,809 ,14101 ,일본
이상한 나라의 수학자,2022-03-09,5045184520 ,534287 ,1357 ,72424 ,한국
명탐정 코난: 할로윈의 신부,2022-07-13,5119750724 ,490868 ,758 ,19422 ,일본
동감,2022-11-16,4755257700 ,490145 ,1013 ,37451 ,한국
모비우스,2022-03-30,4669517390 ,475928 ,1696 ,71160 ,미국
늑대사냥,2022-09-21,4769650393 ,458720 ,1226 ,39242 ,한국
뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,4192060075 ,447710 ,748 ,17846 ,한국
특송,2022-01-12,4172193200 ,443177 ,996 ,48006 ,한국
니 부모 얼굴이 보고 싶다,2022-04-27,3949569280 ,416523 ,1008 ,39190 ,한국
놉,2022-08-17,4709541135 ,415969 ,1031 ,31744 ,미국
리멤버,2022-10-26,3969817717 ,412778 ,1189 ,51985 ,한국
배드 가이즈,2022-05-04,3781458170 ,400329 ,844 ,22867 ,미국
뜨거운 피,2022-03-23,3782750970 ,398090 ,1279 ,53956 ,한국
신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,3417319076 ,356783 ,686 ,12996 ,한국
에브리씽 에브리웨어 올 앳 원스,2022-10-12,3787226770 ,356048 ,620 ,29220 ,미국
버즈 라이트이어,2022-06-15,3511804460 ,344774 ,844 ,21869 ,미국
탄생,2022-11-30,3027962441 ,335938 ,690 ,20129 ,한국
그대가 조국,2022-05-25,3110252870 ,333633 ,601 ,11222 ,한국
수퍼 소닉2,2022-04-06,2849033410 ,315288 ,1129 ,27105 ,미국
DC 리그 오브 슈퍼-펫,2022-08-10,2322641159 ,248798 ,585 ,13069 ,미국
나일 강의 죽음,2022-02-09,2242081480 ,232883 ,1041 ,34168 ,미국
아바타 리마스터링,2022-09-21,3895090540 ,230712 ,285 ,9881 ,미국
극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,2140400817 ,228380 ,790 ,12678 ,한국
문폴,2022-03-16,1962767300 ,195344 ,1174 ,32497 ,미국
극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,1740432400 ,193344 ,380 ,8605 ,한국
원피스 필름 레드,2022-11-30,2060258368 ,192703 ,550 ,14265 ,일본
오펀: 천사의 탄생,2022-10-12,1808701476 ,177871 ,707 ,20178 ,미국
극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,1597219099 ,172165 ,616 ,9318 ,한국
앵커,2022-04-20,1651791610 ,171255 ,1032 ,26638 ,한국
공기살인,2022-04-22,1473339250 ,158265 ,756 ,20626 ,한국
극장판 엉덩이 탐정: 수플레 섬의 비밀,2022-05-05,1410099740 ,152768 ,770 ,8741 ,일본
젠틀맨,2022-12-28,1421084655 ,152558 ,751 ,9229 ,한국
불릿 트레인,2022-08-24,1554615073 ,143620 ,904 ,19957 ,미국
하우스 오브 구찌,2022-01-12,1415538730 ,143619 ,734 ,16261 ,미국
웨스트 사이드 스토리,2022-01-12,1225528640 ,122706 ,754 ,15317 ,미국
극장판 안녕 자두야: 제주도의 비밀,2022-01-27,1071861980 ,121648 ,618 ,13714 ,한국
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,1093855619 ,118023 ,626 ,4937 ,기타
앰뷸런스,2022-04-06,1156403110 ,117512 ,1033 ,23386 ,미국
로스트 시티,2022-04-20,1023084850 ,113186 ,835 ,19963 ,미국
서울괴담,2022-04-27,1076281490 ,112725 ,474 ,9027 ,한국
스트레인지 월드,2022-11-23,966234831 ,112651 ,699 ,8462 ,미국
블랙폰,2022-09-07,1085449042 ,107715 ,495 ,10809 ,미국
스마일,2022-10-06,1124306658 ,105651 ,455 ,7659 ,미국
엘비스,2022-07-13,1076370628 ,99084 ,665 ,9741 ,미국
스텔라,2022-04-06,871870300 ,97312 ,690 ,17698 ,한국
안테벨룸,2022-02-23,899691250 ,95983 ,638 ,14011 ,미국
폴: 600미터,2022-11-16,824947338 ,83270 ,463 ,7850 ,영국
스펜서,2022-03-16,782912830 ,83152 ,730 ,16511 ,영국
바다 탐험대 옥토넛 : 탐험선 대작전,2022-08-11,746170950 ,79113 ,241 ,4327 ,영국
인민을 위해 복무하라,2022-02-23,709334190 ,79105 ,598 ,12221 ,한국
프레이 포 더 데블,2022-12-07,707624477 ,70202 ,517 ,7183 ,미국
리미트,2022-08-31,637399902 ,68097 ,687 ,13037 ,한국
대무가,2022-10-12,571289256 ,63431 ,587 ,9838 ,한국
극장판 5등분의 신부,2022-09-22,671267500 ,62223 ,91 ,2614 ,일본
엔시티 드림 더 무비 : 인 어 드림,2022-11-30,1239999100 ,62018 ,103 ,2445 ,한국
빅샤크4: 바다공룡 대모험,2022-07-06,542563280 ,61783 ,455 ,3300 ,중국
더 킬러: 죽어도 되는 아이,2022-07-13,601780660 ,60175 ,314 ,4090 ,한국
티켓 투 파라다이스,2022-10-12,574492108 ,60171 ,581 ,9663 ,미국
시맨틱 에러: 더 무비,2022-08-31,656057000 ,59314 ,57 ,1269 ,한국
본즈 앤 올,2022-11-30,609027948 ,58181 ,356 ,6077 ,미국
고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,493898813 ,54143 ,531 ,4926 ,한국
인생은 뷰티풀: 비타돌체,2022-09-07,1667323500 ,52969 ,107 ,1540 ,한국
아인보: 아마존의 전설,2022-10-26,397326479 ,51683 ,401 ,3240 ,페루
컴백홈,2022-10-05,455749079 ,51404 ,603 ,8970 ,한국
355,2022-02-09,418026590 ,49098 ,540 ,9796 ,미국
